Protein	Affinity(kcal/mol)
Craseonycteris_thonglongyai	-6.0
Desmodus_rotundus	-6.6
Hipposideros_armiger	-6.2
Hipposideros_galeritus	-5.8
Megaderma_lyra	-6.4
Mormoops_blainvillei	-6.3
Rhinolophus_ferrumequinum	-6.2
eptesicus_fuscus	-6.1
molossus_molossus	-5.9
pipistrellus_kuhlii	-6.1
pipistrellus_pipistrellus	-6.2
Artibeus_jamaicensis	-5.7
Eonycteris_spelaea	-5.6
Macrotus_californicus	-6.3
Micronycteris_hirsuta	-6.2
Miniopterus_schreibersii	-5.9
Pteropus_alecto	-5.9
Phyllostomus_discolor	-5.6
Pteropus_giganteus	-5.9
Pteropus_vampyrus	-5.9
Rousettus_aegyptiacus	-5.9
Rousettus_leschenaultii	-5.9
Sturnira_hondurensis	-5.6
Tonatia_saurophila	-6.2
