species	GLUT2	GLUT5	KHK	ALDOB	TKFC	diet
Macroglossus_sobrinus	0.4518	0.2186		0.3161	0.2075	1
Eonycteris_spelaea	0.4637	0.2243	0.0872	0.3715	0.2266	1
Eidolon_helvum			0.0608	0.3444	0.2719	1
Cynopterus_brachyotis	0.3992				0.2345	1
Rousettus_leschenaultii	0.4592	0.2081	0.088	0.3526	0.2342	1
Rousettus_aegyptiacus	0.4492	0.2105	0.0854	0.3335	0.2316	1
Pteropus_alecto	0.4515	0.2386	0.076	0.4065	0.2581	1
Pteropus_giganteus	0.4417	0.2411	0.0725	0.3885	0.2622	1
Pteropus_vampyrus	0.4417	0.2403	0.0749	0.3813		1
Anoura_caudifer	0.2395		0.0476	0.3374	0.2002	0.7
Artibeus_jamaicensis	0.2619	0.2212	0.0512	0.3229	0.2058	0.9
Sturnira_hondurensis	0.3302	0.232	0.0578	0.3261	0.2105	0.7
Phyllostomus_discolor	0.179853723	0.2015443	0.049176729	0.295918367	0.203875546	0.7
Craseonycteris_thonglongyai		0.2513	0.0643	0.1658	0.2247	0
Megaderma_lyra		0.2209	0.0529	0.218	0.2327	0
Rhinolophus_ferrumequinum	0.1376	0.2247	0.0582	0.307	0.2556	0
Hipposideros_galeritus	0.1223		0.0548	0.2688	0.2376	0
Hipposideros_armiger	0.1522	0.2238	0.051		0.2357	0
Noctilio_leporinus	0.1782		0.0749		0.2647	0
Mormoops_blainvillei	0.1201		0.0362	0.2345	0.2052	0
Macrotus_californicus		0.2496	0.0524		0.2148	0.5
Desmodus_rotundus	0.1451	0.2334	0.0754	0.3135	0.2175	0
Micronycteris_hirsuta		0.236	0.0459	0.282	0.2109	0.2
Tonatia_saurophila	0.1503	0.2171	0.0452	0.2501	0.1984	0.1
Tadarida_brasiliensis	0.1192			0.1901	0.2589	0
Molossus_molossus	0.1486	0.2157	0.0545	0.1789	0.2536	0
Miniopterus_schreibersii	0.1031		0.0356	0.2094	0.2978	0
Miniopterus_natalensis	0.1201		0.0367	0.2041	0.2983	0
Lasiurus_borealis			0.0502	0.291		0
Eptesicus_fuscus	0.1671	0.2302	0.0369		0.2494	0
Pipistrellus_kuhlii	0.1592	0.1662	0.0436	0.2731	0.2979	0
Pipistrellus_pipistrellus	0.1782	0.1668		0.2965	0.284	0
Murina_aurata_feae			0.0555	0.2851	0.3308	0
Myotis_davidii	0.1904		0.038	0.2608		0
Myotis_myotis	0.1676		0.0338	0.2457	0.3078	0
Myotis_lucifugus	0.2045		0.0343		0.32	0
Myotis_brandtii	0.1668		0.0239	0.2585	0.3194	0
