Protein	Affinity(kcal/mol)
Desmodus_rotundus	-5.9
Hipposideros_armiger	-6.1
Hipposideros_galeritus	-6.0
Mormoops_blainvillei	-6.0
Noctilio_leporinus	-6.0
Rhinolophus_ferrumequinum	-6.1
eptesicus_fuscus	-5.9
miniopterus_natalensis	-6.2
miniopterus_schreibersii	-6.1
molossus_molossus	-6.1
murina_aurata_feae	-4.7
myotis_brandtii	-6.2
myotis_davidii	-6.1
myotis_lucifugus	-6.0
myotis_myotis	-6.2
pipistrellus_kuhlii	-6.0
pipistrellus_pipistrellus	-6.1
tadarida_brasiliensis	-6.1
Anoura_caudifer	-5.7
Artibeus_jamaicensis	-5.7
Cynopterus_brachyotis	-5.7
Eidolon_helvum	-6.1
Eonycteris_spelaea	-5.7
Macrotus_californicus	-6.0
Micronycteris_hirsuta	-5.6
Miniopterus_schreibersii	-5.7
Pteropus_alecto	-5.7
Phyllostomus_discolor	-5.6
Pteropus_giganteus	-5.7
Pteropus_vampyrus	-5.7
Rousettus_aegyptiacus	-5.7
Rousettus_leschenaultii	-5.7
Sturnira_hondurensis	-5.7
Tonatia_saurophila	-5.9
Desmodus_rotundus-312-450	-6.180
Desmodus_rotundus-312	-6.314
Desmodus_rotundus-450	-6.317
Desmodus_rotundus-53-312-450	-5.120
Desmodus_rotundus-53-312	-6.147
Desmodus_rotundus-53-450	-6.311
Desmodus_rotundus-53-93-312-450	-6.712
Desmodus_rotundus-53-93-312	-6.302
Desmodus_rotundus-53-93-450	-6.249
Desmodus_rotundus-53-93	-6.304
Desmodus_rotundus-53	-6.428
Desmodus_rotundus-93-312-450	-6.176
Desmodus_rotundus-93-312	-6.306
Desmodus_rotundus-93-450	-6.310
Desmodus_rotundus-93	-6.167
Eptesicus_fuscus-312-450	-6.106
Eptesicus_fuscus-312	-6.157
Eptesicus_fuscus-450	-6.314
Eptesicus_fuscus-53-312-450	-6.431
Eptesicus_fuscus-53-312	-6.167
Eptesicus_fuscus-53-450	-6.130
Eptesicus_fuscus-53-93-312-450	-6.296
Eptesicus_fuscus-53-93-312	-4.991
Eptesicus_fuscus-53-93-450	-6.154
Eptesicus_fuscus-53-93	-6.144
Eptesicus_fuscus-53	-6.417
