Protein	Affinity(kcal/mol)
Craseonycteris_thonglongyai	-5.4
Megaderma_lyra	-5.7
Rhinolophus_ferrumequinum	-5.7
Hipposideros_armiger	-5.3
Hipposideros_galeritus	-5.4
Noctilio_leporinus	-5.2
Mormoops_blainvillei	-5.6
Pteropus_alecto	-5.1
Desmodus_rotundus	-5.3
eptesicus_fuscus_khk	-5.4
lasiurus_borealis_khk	-5.2
miniopterus_natalensis_khk	-5.8
miniopterus_schreibersii_khk	-5.7
molossus_molossus_khk	-5.8
murina_aurata_feae_khk	-5.4
myotis_brandtii_khk	-5.8
myotis_davidii_khk	-5.8
myotis_lucifugus_khk	-5.1
myotis_myotis_khk	-5.8
pipistrellus_kuhlii_khk	-5.5
Anoura_caudifer	-5.6
Artibeus_jamaicensis	-5.3
Cynopterus_brachyotis	-5.2
Eidolon_helvum	-5.2
Eonycteris_spelaea	-5.6
Macrotus_californicus	-5.3
Micronycteris_hirsuta	-5.6
Miniopterus_schreibersii	-5.3
Pteropus_alecto	-5.3
Phyllostomus_discolor	-5.3
Pteropus_giganteus	-5.3
Pteropus_vampyrus	-5.3
Rousettus_aegyptiacus	-5.8
Rousettus_leschenaultii	-5.2
Sturnira_hondurensis	-5.7
Tonatia_saurophila	-5.7
