Protein	Affinity(kcal/mol)
Desmodus_rotundus	-3.3
Mormoops_blainvillei	-3.3
Noctilio_leporinus	-3.1
Hipposideros_armiger	-3.0
Hipposideros_galeritus	-3.2
Rhinolophus_ferrumequinum	-3.3
Craseonycteris_thonglongyai	-3.1
Megaderma_lyra	-3.2
eptesicus_fuscus	-3.0
miniopterus_natalensis	-2.9
miniopterus_schreibersii	-3.3
molossus_molossus	-3.2
murina_aurata_feae	-3.4
myotis_brandtii	-3.1
myotis_davidii	-3.0
myotis_lucifugus	-3.3
myotis_myotis	-3.3
pipistrellus_kuhlii	-3.1
pipistrellus_pipistrellus	-3.0
tadarida_brasiliensis	-3.2
Artibeus_jamaicensis	-3.0
Eidolon_helvum	-3.0
Anoura_caudifer	-3.0
Anoura_caudifer_VA358M	-3.0
Artibeus_jamaicensis	-3.0
Cynopterus_brachyotis	-3.0
Eidolon_helvum	-3.0
Eonycteris_spelaea	-2.9
Miniopterus_schreibersii	-3.0
Miniopterus_schreibersii	-3.0
Pteropus_alecto	-3.0
Phyllostomus_discolor	-3.0
Pteropus_giganteus	-2.9
Pteropus_vampyrus	-2.5
Rousettus_aegyptiacus	-3.0
Rousettus_leschenaultii	-2.9
Sturnira_hondurensis	-3.0
Macrotus_californicus	-3.2
Micronycteris_hirsuta	-3.3
Tonatia_saurophila	-3.1
